S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
94,526603,Mandal,मांडळ,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00160200,526603,N,,,,
95,526481,Mehergaon,मेहरगाव,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00147700,526481,N,,,,
96,526566,M.Nurnagar,म.नुरनगर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00156500,526566,N,,,,
97,526601,Moghan,मोघण,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00160000,526601,N,,,,
98,943963,Mohadi.Pra.La,मोहाडी प्र.ल.,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),,000000,N,,,,
99,526506,Mohadi Pr.Dan.,मोहाडी प्र. डां.,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00150200,526506,N,dhule_lgd_1657531828797.pdf,,,
100,526558,Morane Pr. La.,मोराणे प्र.ल.,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00155500,526558,N,dhule_lgd_1657532299623.pdf,,,
101,526576,Morane Pr.Ner,मोराणे प्र. नेर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00157500,526576,N,,,,
102,526628,Mordad,मोरदड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00162700,526628,N,,,,
103,526629,Mordad Tanda,मोरदड तांडा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00162800,526629,N,,,,
104,526595,Morshevadi,मोरशेवडी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00159400,526595,N,,,,
105,526535,Mukati,मुकटी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00153100,526535,N,,,,
106,526500,Nagaon Bk.,नगाव बुद्रुक,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00149600,526500,N,,,,
107,526528,Nagaon Kh.,नगाव खुर्द,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00152400,526528,N,,,,
108,526552,Nakane,नकाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00154900,526552,N,,,,
109,526623,Nandale Bk.,नंदाळे बुद्रुक,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00162200,526623,N,,,,
110,526529,Nandale Kh.,नंदाळे खुर्द,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00152500,526529,N,,,,
111,526472,Nandane,नंदाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00146800,526472,N,,,,
112,526584,Nandre,नांद्रे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00158300,526584,N,,,,
113,526624,Nane,नाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00162300,526624,N,,,,
114,526524,Narvhal,नरव्हाळ,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00152000,526524,N,,,,
115,526476,Navekothare,नवेकोठारे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00147200,526476,N,dhule_lgd_1657532394566.pdf,,,
116,526480,Navlane,नवलाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00147600,526480,N,LGD Certificate_1381994144952.PDF,,,
117,526514,Nawalnagar,नवलनगर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00151000,526514,N,,,,
118,526510,Nawra,नावरा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00150600,526510,N,,,,
119,526511,Nawri,नावरी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00150700,526511,N,,,,
120,526474,Nikumbhe,निकुंभे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00147000,526474,N,,,,
121,526549,Nimdale,निमडाळे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00154500,526549,N,,,,
122,526615,Nimgul,निमगुळ,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00161400,526615,N,,,,
123,526503,Nimkhedi,निमखेडी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00149900,526503,N,,,,
124,526493,Nyahalod,न्याहळोद,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00148900,526493,N,,,,
125,526589,Padalde,पाडळदे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00158800,526589,N,,,,
126,526586,Pimparkhede,पिंपरखेडे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00158500,526586,N,,,,
127,526520,Pimpri,पिंपरी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00151600,526520,N,,,,
128,526606,Purmepada,पुरमेपाडा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00160500,526606,N,,,,
129,526467,Rami,रामी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00146300,526467,N,,,,
130,526562,Ranmala,रानमळा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00156100,526562,N,,,,
131,526560,Raver,रावेर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00155800,526560,N,,,,
132,526621,Raywat,रायवट,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00162000,526621,N,dhule_lgd_1656147946301.pdf,,,
133,526596,Sadgaon,सडगाव,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00159500,526596,N,,,,
134,526477,Saitale,सैताळे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00147300,526477,N,,,,
135,526556,Sanjori,सांजोरी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00155300,526556,N,,,,
136,526489,Sarvad,सरवड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00148500,526489,N,,,,
137,526509,Satarne,सातरणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00150500,526509,N,,,,
138,526522,Saundane,सौंदाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00151800,526522,N,,,,
139,526537,Savali,सावळी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00153300,526537,N,,,,
140,526561,Sawalde,सावळदे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00156000,526561,N,LGD Certificate_1381994823045.PDF,,,
141,526538,Sawali Tanda,सावळी तांडा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00153400,526538,N,,,,
142,526473,Sayane,सायने,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00146900,526473,N,,,,
143,526512,Shirdane Pr.Da.,शिरडाणे प्र. डा.,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00150800,526512,N,dhule_lgd_1660802180335.pdf,,,
144,526479,Shirdhane Pr.Ner,शिरधाणे प्र. नेर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00147500,526479,N,dhule_lgd_1660802341500.pdf,,,
145,526611,Shirud,शिरूड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00161000,526611,N,,,,
146,526625,Sitane,सीताणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00162400,526625,N,,,,
147,526599,Sonewadi,सोनेवाडी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00159800,526599,N,,,,
148,526483,Songir,सोनगीर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00147900,526483,N,,,,
149,526507,Sukawad Pra.Da.,सुकवड प्र. डा.,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00150300,526507,N,dhule_lgd_1658897125441.pdf,,,
150,526548,Sutare Pada,सुट्रे पाडा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00154400,526548,N,,,,
151,526486,Tamaswadi,तामसवाडी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00148200,526486,N,,,,
152,526547,Tanda (Kundane Pra.Ve),तांडा (कुंडाणे प्र.वे),Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00154300,526547,N,dhule_lgd_1658896944109.pdf,,,
153,526626,Tarwade,तरवाडे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00162500,526626,N,,,,
154,526563,Tikhi,तिखी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00156200,526563,N,,,,
155,526498,Tisgaon,तिसगाव,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00149400,526498,N,,,,
156,526585,Ubhand,उभंड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00158400,526585,N,,,,
157,526555,Udane,उडाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00155200,526555,N,,,,
158,526521,Vadjai,वडजाई,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00151700,526521,N,,,,
159,526542,Vajirkhede,वजीरखेडे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00153800,526542,N,,,,
160,526515,Vani Bk,वणी बुद्रुक,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00151100,526515,N,,,,
161,526616,Vani Kh,वणी खुर्द,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00161500,526616,N,,,,
162,526517,Varkhede,वरखेडे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00151300,526517,N,,,,
163,526545,Velhane Bk.,वेल्हाणे बुद्रुक,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00154100,526545,N,dhule_lgd_1658897040835.pdf,,,
164,526618,Vinchur,विंचूर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00161700,526618,N,,,,
165,526508,Vishwanath,विश्वनाथ,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00150400,526508,N,,,,
166,526499,Wadel,वडेल,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00149500,526499,N,,,,
167,526513,Wadgaon,वडगाव,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00150900,526513,N,,,,
168,526470,Wadne,वडणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00146600,526470,N,,,,
169,526630,Walwadi,वलवाडी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00154800,526630,N,dhule_lgd_1657533517557.pdf,,,
170,526553,War,वार,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00155000,526553,N,,,,
